;id;Landkreis;Einwohner_pro_qkm;Bevölkerung;anteil_bevölkerung_0_bis_44;arbeitslosenqoute;pkw_bestand_je_tsd_einwohner;bip_je_erwerbstätigen;krankenhausbetten_je_tsd_einwohner
278;9478;Lichtenfels;128;66776;0.45199999999999996;0.034;657.5;62633.0;11.5
279;9479;Wunsiedel i.Fichtelgebirge;120;72655;0.42;0.043;636.6;62922.0;5.6
280;9561;Ansbach;418;41798;0.4999999999999998;0.036;600.6;65972.0;29.4
281;9562;Erlangen;1462;112528;0.5740000000000001;0.035;490.0;92035.0;19.8
282;9563;Fürth;2028;128497;0.524;0.048;489.1;72319.0;6.7
283;9564;Nürnberg;2780;518370;0.5329999999999999;0.052;472.3;76836.0;6.9
284;9565;Schwabach;1004;40981;0.482;0.032;634.6;66360.0;4.2
285;9571;Ansbach;94;184591;0.489;0.022;664.4;66965.0;0.8
286;9572;Erlangen-Höchstadt;243;137262;0.486;0.018;662.7;71746.0;1.0
287;9573;Fürth;383;117853;0.462;0.025;644.0;74563.0;6.326932668329178
288;9574;Nürnberger Land;214;170792;0.464;0.023;638.3;70427.0;5.7
289;9575;Neustadt a.d.Aisch-Bad Windsheim;80;101014;0.479;0.018;655.0;62256.0;4.8
290;9576;Roth;142;126749;0.47399999999999987;0.02;669.2;66053.0;2.1
291;9577;Weißenburg-Gunzenhausen;98;94734;0.475;0.0289999999999999;646.3;64371.0;4.5
292;9661;Aschaffenburg;1137;71002;0.504;0.049;634.5;79566.0;13.5
293;9662;Schweinfurt;1497;53426;0.496;0.061;521.1;85214.0;17.6
294;9663;Würzburg;1460;127934;0.565;0.034;499.8;63137.0;18.8
295;9671;Aschaffenburg;249;174200;0.464;0.026;664.3;80189.0;0.2
296;9672;Bad Kissingen;91;103235;0.439;0.03;671.1;61842.0;7.9
297;9673;Rhön-Grabfeld;78;79635;0.46099999999999974;0.025;671.2;72569.0;13.8
298;9674;Haßberge;88;84384;0.46799999999999986;0.026;676.0;64891.0;2.8
299;9675;Kitzingen;133;91155;0.4819999999999999;0.021;665.7;70021.0;2.7
300;9676;Miltenberg;180;128743;0.46899999999999986;0.0279999999999999;648.5;73580.0;2.2
301;9677;Main-Spessart;95;126158;0.445;0.018;667.0;72932.0;5.3
302;9678;Schweinfurt;137;115445;0.46799999999999986;0.023;672.3;67912.0;5.1
303;9679;Würzburg;168;162302;0.47699999999999987;0.019;647.5;80762.0;0.9
304;9761;Augsburg;2019;296582;0.5489999999999999;0.049;461.2;70719.0;10.0
